DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P9450,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6915S1,P6915,P6585S4A2,P6773,P6773S1,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,OCI,OFICIO,RAMA2D,RAMA2DP8,P6430,P6420S1,RAMA4D,RAMA4DP8,INGLABO,DPTO,fex_c_2011
978444,1,1,1,60,66,1,2,1,,1,1,,1,1,1,5,,2,,750000,2,,,2,,2,,2,,2,,,55000,30000,,2,1,,1,1,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,5,60,,.,60,,,2,,,,,,,,,5,7,,1,1,1,3,1,1,,,,,,,,,1,1,12,1,,2,,,,,8,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,1,,1,58,74,,1,,7492,,750000,66,291.3561447
978445,1,1,1,60,66,1,2,1,,1,1,,1,1,1,180,,2,,1346000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,1,,650000,650000,,2,1,2,2,,,,,,,,,,,12,60,,.,60,,,1,7,19,2,,,,,,9,7,,1,2,1,26,1,1,,,,,,,,,1,1,24,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,1,,1,44,65,,1,,6512,,1346000,66,25.07101005
978446,1,1,1,60,66,1,1,,,1,2,,2,2,2,11,,1,,400000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,11,72,,.,0,1,,2,,,,,,,,,2,2,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,8,,1,62,70,,1,,7020,,400000,66,259.5451303
978446,1,3,1,60,66,1,1,,,1,2,,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,90000,1,,3,,12,55,,.,55,,,1,7,17,2,,,,,,1,1,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,54,85,,4,,8532,,90000,66,259.5451303
978446,1,4,1,60,66,1,2,1,,2,1,,1,1,1,6,,3,,461500,2,,,2,,2,,2,,2,,,55000,45000,,2,2,,1,1,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,12,54,,.,54,,,2,,,,,,,,,9,7,,1,1,1,6,1,,,,,,,,1,,1,1,12,1,,2,,,,,0,2,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,1,1,1,1,1,2,2,2,2,1,2,,1,1,,2,2,2,2,2,2,2,3,3,1,,1,55,60,74,1,7491,6021,7491,461500,66,259.5451303
978450,1,1,1,60,66,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,600000,1,,3,,12,60,,.,60,,,2,,,,,,,,,1,6,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,9,,1,45,52,,4,,5262,,600000,66,281.4537984
978450,1,2,1,60,66,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,500000,1,,3,,12,60,,.,60,,,2,,,,,,,,,1,7,,2,,,,1,,,,,,,,1,,2,1,84,1,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,1,,1,2008,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,9,,1,41,52,,4,,5241,,500000,66,281.4537984
978450,1,3,1,60,66,1,2,1,,1,1,,1,1,1,14,,1,,640000,2,,,2,,2,,2,,2,,,55000,15000,,2,1,,1,1,,2,2,2,,,,2,,,332000,,2,1,2,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,9,7,,1,1,1,1,1,1,,,,,,,,,1,1,2,1,,2,,,,,5,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,9,,1,16,22,,1,,2212,,640000,66,281.4537984
978454,1,1,1,60,66,2,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,300000,1,,3,,12,63,,.,63,,,2,,,,,,,,,1,5,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,8,,1,45,52,,4,,5262,,300000,66,309.7859598
978454,1,3,1,60,66,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,2,,20,,,2,,,,,,,,,2,5,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,,1,45,52,,6,,5262,,,66,309.7859598
978455,1,1,1,60,66,2,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,600000,1,,1,,12,40,,.,40,,,2,,,,,,,,,1,2,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,2,,,,1,1,1,1,1,2,2,2,2,2,2,,1,1,,2,2,2,2,2,2,2,2,3,9,,1,93,45,,4,,4552,,600000,66,271.784894
978455,1,2,1,60,66,1,2,1,,1,1,,1,1,1,4,,2,,461500,2,,,2,,2,,2,,2,,,55000,15000,,2,1,,1,1,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,12,56,,.,56,,,2,,,,,,,,,6,7,,1,1,1,4,1,1,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,1,1,1,1,1,1,2,2,2,2,2,,1,1,,3,2,2,2,2,3,2,3,3,1,,1,45,52,,1,,5235,,461500,66,271.784894
978456,1,1,1,60,66,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,120000,1,,1,,12,30,2,,30,,,2,,,,,,,,,1,1,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,9,,1,79,52,,4,,5271,,120000,66,270.5918871
